	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"natur"	0	1	1	0	0	0
"privat"	0	1	0	0	0	0
"public"	0	1	0	0	0	0
"question"	0	1	0	0	0	0
"relief"	0	1	0	0	0	0
"remain"	0	1	1	0	0	1
"sourc"	0	1	0	0	0	0
"unansw"	0	1	0	0	0	0
"whether"	0	1	0	0	0	0
"anoth"	0	1	0	0	0	0
"bank"	0	1	0	0	0	0
"bitter"	0	1	0	0	0	0
"contest"	0	1	0	0	0	0
"disburs"	0	1	0	0	0	0
"issu"	0	1	0	1	0	0
"like"	0	1	1	1	0	0
"prefer"	0	1	0	0	0	0
"sort"	0	1	0	0	0	0
"warsaw"	0	1	0	0	0	0
"year"	0	1	1	1	1	0
"agre"	0	1	0	0	0	0
"begin"	0	1	1	0	0	0
"best"	0	1	0	0	0	0
"concentr"	0	1	0	0	0	0
"end"	0	1	0	0	0	0
"fact"	0	1	0	0	0	0
"finalis"	0	1	0	0	0	0
"hand"	0	1	0	0	0	0
"interest"	0	1	0	0	0	0
"kyoto"	0	1	0	0	0	0
"mechan"	0	1	0	0	0	0
"mind"	0	1	0	0	0	0
"process"	0	1	1	0	0	0
"protocol"	0	1	0	0	0	0
"quick"	0	1	0	1	0	0
"rescu"	0	1	0	0	0	0
"start"	0	1	1	1	0	0
"text"	0	1	0	0	0	0
"treati"	0	1	0	0	0	0
"accommod"	0	1	0	0	0	0
"allow"	0	1	1	0	0	0
"effect"	0	1	0	1	0	1
"pari"	0	1	0	0	0	0
"ratifi"	0	1	0	0	0	0
"refus"	0	1	0	0	0	0
"requir"	0	1	0	0	0	0
"separ"	0	1	0	0	0	0
"strand"	0	1	0	0	0	0
"suppos"	0	1	0	0	0	0
"unifi"	0	1	0	0	0	0
"divis"	0	1	0	0	0	0
"enorm"	0	1	0	0	0	0
"hardest"	0	1	0	0	0	0
"histori"	0	1	0	0	0	0
"sinc"	0	1	1	0	0	0
"stark"	0	1	0	0	0	0
"three"	0	1	0	1	0	0
"although"	0	1	0	0	0	0
"bear"	0	1	0	0	0	0
"burden"	0	1	0	0	0	0
"china"	0	1	0	0	0	0
"class"	0	1	0	0	0	0
"cope"	0	1	0	0	0	0
"determin"	0	1	0	0	0	0
"dire"	0	1	0	0	1	0
"economi"	0	1	0	0	0	0
"emitt"	0	1	0	0	0	0
"hang"	0	1	0	0	0	0
"live"	0	1	0	0	0	0
"million"	0	1	0	1	0	0
"must"	0	1	0	0	0	0
"overtak"	0	1	0	0	0	0
"poverti"	0	1	0	0	0	0
"soon"	0	1	0	0	0	0
"status"	0	1	0	0	0	0
"still"	0	1	1	0	1	0
"ahead"	0	0	0	0	0	1
"cairo"	0	0	0	0	0	1
"constitut"	0	0	1	0	0	1
"controversi"	0	0	0	0	0	1
"cosmet"	0	0	0	0	0	1
"decre"	0	0	0	0	0	1
"egyptian"	0	0	0	0	0	1
"give"	0	0	0	0	0	1
"go"	0	0	0	0	0	1
"insist"	0	0	0	0	0	1
"leader"	0	0	0	0	0	1
"moham"	0	0	0	0	0	1
"morsi"	0	0	0	0	0	1
"opposit"	0	0	0	0	0	1
"plan"	0	0	0	0	0	1
"postpon"	0	0	0	0	0	1
"power"	0	0	0	0	0	1
"referendum"	0	0	0	0	0	1
"revok"	0	0	0	0	0	1
"sweep"	0	0	0	0	0	1
"air"	0	0	0	0	0	1
"altitud"	0	0	0	0	0	1
"crisi"	0	0	0	0	0	1
"despit"	0	0	0	0	0	1
"forc"	0	0	0	0	0	1
"jet"	0	0	0	0	0	1
"judici"	0	0	0	0	0	1
"low"	0	0	0	0	0	1
"overflew"	0	0	0	0	0	1
"oversight"	0	0	0	0	0	1
"popular"	0	0	0	0	0	1
"protest"	0	0	0	0	0	1
"repeat"	0	0	0	0	0	1
"sunday"	0	0	0	1	0	1
"withdrew"	0	0	0	0	0	1
"al"	0	0	0	0	0	1
"announc"	0	0	0	0	0	1
"awa"	0	0	0	0	0	1
"committe"	0	0	0	0	0	1
"decis"	0	0	0	0	0	1
"dialogu"	0	0	0	0	0	1
"islamist"	0	0	0	0	0	1
"late"	0	0	0	0	0	1
"member"	0	0	0	0	0	1
"met"	0	0	0	0	0	1
"salim"	0	0	0	0	0	1
"annul"	0	0	0	0	0	1
"broad"	0	0	0	0	0	1
"claus"	0	0	0	0	0	1
"consequ"	0	0	0	0	0	1
"declar"	0	0	0	0	0	1
"gave"	0	0	0	0	0	1
"novemb"	0	0	0	1	0	1
"behind"	0	0	0	0	0	1
"door"	0	0	0	0	0	1
"draft"	0	0	0	0	0	1
"elbaradei"	0	0	0	0	0	1
"freedom"	0	0	0	0	0	1
